Group,Athlete,Distance,Session Load,Workload,Sprint Distance,High Intensity Running,No. of High Intensity Events,Metres per Minute,No. of Sprints,Top Speed,Raw Top Speed,Accelerations,Decelerations,Minutes Played
CBs,SYN_CBs_MEDIO_01226,5814,996,5.1,16,111,13,70,1,26.1,27.5,39,39,79
CBs,SYN_CBs_MEDIO_00274,6050,1209,6.2,28,163,14,74,1,27.8,29.0,41,39,78
CBs,SYN_CBs_ALTO_01977,8257,1522,7.4,46,330,25,101,2,28.9,30.8,73,72,86
CBs,SYN_CBs_MEDIO_00141,4161,672,3.2,22,106,8,64,0,28.6,30.6,40,28,65
WBs,SYN_WBs_ALTO_00316,9906,1892,9.7,64,429,26,119,4,30.0,32.0,70,70,82
,SYN_Indefinido_ALTO_00584,8826,1657,8.4,54,371,23,94,2,27.9,29.5,75,77,92
,SYN_Indefinido_ALTO_00911,8199,1604,7.7,60,280,19,99,4,30.6,32.2,67,68,80
,SYN_Indefinido_BAIXO_00707,1603,400,2.3,9,137,0,43,0,23.6,26.9,0,0,32
STs,SYN_STs_MEDIO_00502,4674,940,4.8,51,275,13,60,3,30.4,31.9,39,34,68
WBs,SYN_WBs_MEDIO_00040,6305,1334,6.5,67,318,14,80,5,28.1,31.4,47,41,80
CBs,SYN_CBs_ALTO_02729,9831,1996,9.3,30,312,18,104,2,29.8,31.8,74,70,93
10s,SYN_10s_ALTO_00018,7917,1514,7.7,68,347,17,85,4,29.6,31.7,65,59,93
,SYN_Indefinido_MEDIO_00002,4005,716,3.4,16,45,8,57,3,30.5,31.6,27,22,66
CMs,SYN_CMs_ALTO_00322,9355,1743,9.0,35,294,15,101,4,29.3,30.9,46,67,88
CBs,SYN_CBs_MEDIO_02774,5917,1134,5.8,17,207,12,73,1,25.3,26.7,48,47,81
10s,SYN_10s_BAIXO_01450,1349,294,1.2,15,24,2,27,1,25.7,26.9,3,12,44
CMs,SYN_CMs_MEDIO_01965,5321,824,4.4,38,153,7,81,0,30.3,32.8,34,26,67
10s,SYN_10s_ALTO_00189,10409,1921,9.7,85,300,31,117,6,29.5,31.6,71,75,94
CBs,SYN_CBs_MEDIO_02133,4322,853,4.4,27,153,8,77,2,26.7,29.4,29,20,56
WBs,SYN_WBs_MEDIO_01123,4419,860,4.1,49,141,9,85,3,29.0,30.1,36,20,54
10s,SYN_10s_ALTO_02359,8619,1637,7.3,56,270,21,98,2,34.9,38.3,60,62,86
CMs,SYN_CMs_BAIXO_00046,825,193,0.9,27,63,3,27,1,24.7,26.6,14,6,34
10s,SYN_10s_MEDIO_01114,4389,943,5.1,36,238,10,48,1,28.6,31.6,22,34,71
WBs,SYN_WBs_BAIXO_00024,840,243,1.0,9,109,2,27,2,29.8,31.3,4,0,31
CMs,SYN_CMs_ALTO_02191,9058,1561,8.0,44,325,14,115,4,30.4,33.0,41,58,82
STs,SYN_STs_ALTO_00597,8077,1502,7.4,57,401,31,93,9,30.6,31.8,66,64,80
10s,SYN_10s_ALTO_03156,9487,1866,9.3,76,460,16,104,3,30.2,31.9,59,62,95
CBs,SYN_CBs_ALTO_00037,9404,1531,7.8,33,298,22,110,4,27.0,29.4,84,70,88
CBs,SYN_CBs_ALTO_01574,11384,2231,11.6,49,319,32,113,4,27.9,30.1,86,83,96
STs,SYN_STs_MEDIO_01973,4310,1045,5.2,19,197,14,78,6,28.0,30.1,35,32,58
WBs,SYN_WBs_MEDIO_01032,6674,1420,6.8,62,348,10,81,3,29.2,31.3,33,35,78
CMs,SYN_CMs_ALTO_02740,9685,1876,9.5,59,300,18,109,2,30.0,31.5,54,63,96
CMs,SYN_CMs_ALTO_01008,10835,1996,9.5,51,328,18,122,3,31.4,33.5,63,62,96
STs,SYN_STs_MEDIO_00352,4065,860,4.2,43,204,9,72,3,28.8,30.2,34,26,61
WBs,SYN_WBs_ALTO_00241,10300,1899,10.0,81,423,25,133,8,30.9,32.0,69,61,81
10s,SYN_10s_ALTO_03444,9170,1736,8.7,70,403,24,110,6,30.2,31.9,76,64,84
CBs,SYN_CBs_BAIXO_00497,1574,436,1.5,9,130,0,46,0,24.3,26.9,5,1,37
10s,SYN_10s_MEDIO_00043,3335,573,2.9,40,161,12,53,2,33.0,34.8,27,35,59
CBs,SYN_CBs_ALTO_01867,9169,1638,8.3,27,198,19,102,3,28.3,31.5,74,56,91
CMs,SYN_CMs_ALTO_01458,8866,1572,7.8,64,234,13,110,3,32.1,35.5,46,50,87
,SYN_Indefinido_MEDIO_00833,4959,814,4.0,15,191,13,61,0,27.5,29.8,39,51,78
10s,SYN_10s_ALTO_00125,8096,1511,7.3,72,364,24,96,3,29.1,31.2,71,53,88
10s,SYN_10s_ALTO_01334,7088,1430,6.8,75,358,17,89,4,31.1,32.3,58,54,81
CMs,SYN_CMs_BAIXO_00706,1631,180,1.1,9,3,0,112,0,26.5,27.8,0,0,14
WBs,SYN_WBs_ALTO_00038,9460,1945,9.6,85,383,19,104,4,32.3,35.5,74,71,94
10s,SYN_10s_BAIXO_00568,1000,319,1.6,4,81,2,21,0,24.8,27.9,9,9,39
WBs,SYN_WBs_MEDIO_01784,5234,956,5.0,43,239,11,68,4,29.3,30.6,26,41,69
CBs,SYN_CBs_ALTO_02426,8108,1646,8.2,23,234,22,108,1,29.0,31.7,66,66,80
WBs,SYN_WBs_ALTO_02466,8735,1867,9.3,58,394,16,103,5,30.0,32.1,56,55,83
10s,SYN_10s_MEDIO_02749,6343,1145,5.3,36,149,17,77,3,29.7,32.7,53,50,87
CBs,SYN_CBs_MEDIO_01219,4349,651,3.3,40,174,11,70,0,26.7,28.9,46,44,65
,SYN_Indefinido_MEDIO_00679,3526,635,3.9,30,134,7,57,3,25.7,27.6,14,25,61
CBs,SYN_CBs_ALTO_01886,7911,1476,7.6,29,253,22,102,3,27.8,29.5,68,68,80
STs,SYN_STs_ALTO_00637,10371,2160,11.3,101,412,27,110,12,30.2,33.8,89,70,96
CMs,SYN_CMs_ALTO_00756,11182,2060,10.0,37,282,17,125,4,28.4,29.8,55,67,90
10s,SYN_10s_ALTO_01898,10339,2072,10.7,83,426,24,104,3,30.5,32.6,90,78,94
CMs,SYN_CMs_ALTO_02882,8593,1598,7.3,29,313,21,100,4,27.3,30.1,62,65,86
CBs,SYN_CBs_BAIXO_01350,1566,244,1.5,0,12,0,95,0,24.7,27.9,3,0,16
WBs,SYN_WBs_ALTO_00301,10424,2001,10.0,87,483,23,127,5,32.1,34.9,82,63,82
CBs,SYN_CBs_MEDIO_02985,4135,761,4.2,21,146,11,66,1,28.8,32.0,37,30,60
CBs,SYN_CBs_MEDIO_01038,3991,790,4.4,0,153,10,76,0,28.4,29.6,41,36,57
10s,SYN_10s_MEDIO_01204,5229,896,4.8,39,224,12,64,2,29.9,32.7,45,51,77
10s,SYN_10s_BAIXO_00903,255,8,0.1,0,0,1,13,0,24.7,27.8,5,9,26
CMs,SYN_CMs_BAIXO_00370,477,36,0.4,0,0,0,35,0,24.6,26.8,2,0,14
CMs,SYN_CMs_BAIXO_00390,704,12,0.3,0,82,2,31,0,27.5,29.8,10,6,21
WBs,SYN_WBs_ALTO_00645,10312,1956,9.8,115,483,28,131,8,30.6,33.8,60,69,80
10s,SYN_10s_MEDIO_01033,5330,1153,6.1,47,233,11,64,3,30.1,33.4,39,40,81
WBs,SYN_WBs_ALTO_00397,10350,2144,10.7,78,437,35,129,8,34.2,36.6,77,80,82
10s,SYN_10s_ALTO_02217,7291,1367,6.2,61,214,15,92,3,30.1,32.9,56,54,80
WBs,ORIG_ATL_WBs_045,7578,1456,7.3,81,245,12,101,5,32.2,35.5,39,24,74
CMs,SYN_CMs_ALTO_01671,10308,2016,9.6,34,337,21,120,2,29.5,31.8,51,73,87
,SYN_Indefinido_BAIXO_00479,1946,335,2.4,12,0,1,47,0,25.6,28.3,1,13,45
CBs,SYN_CBs_ALTO_00135,7715,1369,6.8,12,234,15,89,1,29.4,30.8,61,56,83
CBs,SYN_CBs_BAIXO_00878,648,84,0.8,0,0,2,37,0,23.3,24.6,5,13,17
CMs,SYN_CMs_BAIXO_00223,863,224,1.3,10,68,3,21,0,24.6,26.6,13,16,40
WBs,SYN_WBs_BAIXO_00379,770,43,0.1,12,0,2,29,2,28.1,30.1,0,4,26
CMs,SYN_CMs_ALTO_01110,7446,1397,6.7,61,223,21,88,2,31.7,34.1,53,64,81
WBs,SYN_WBs_ALTO_01765,8726,1770,8.9,63,496,28,104,8,29.5,30.9,71,57,88
,SYN_Indefinido_ALTO_00979,9894,1995,9.8,71,450,17,108,5,29.4,30.7,66,40,95
STs,SYN_STs_MEDIO_00204,5372,1128,5.8,45,286,12,66,3,28.6,31.8,46,39,78
CMs,SYN_CMs_ALTO_00696,9565,1787,9.1,40,270,21,120,3,28.9,30.2,61,53,80
CBs,SYN_CBs_ALTO_00958,9795,1823,8.6,47,263,25,113,2,29.7,31.8,81,70,88
CMs,SYN_CMs_MEDIO_00620,5057,853,4.4,41,231,8,80,1,28.9,32.3,30,35,65
WBs,SYN_WBs_ALTO_00104,10725,2064,10.1,72,420,24,133,5,28.8,31.3,73,71,85
CMs,SYN_CMs_MEDIO_02801,5234,1029,5.3,18,176,7,82,0,28.1,30.3,26,38,61
CBs,SYN_CBs_BAIXO_00711,50,8,0.1,2,6,0,1,0,25.7,29.3,0,4,33
CMs,ORIG_ATL_CMs_028,10020,1892,9.4,73,233,22,109,2,28.7,31.9,68,68,91
STs,SYN_STs_BAIXO_00837,482,133,0.5,10,62,0,13,0,23.8,26.8,2,0,27
CMs,SYN_CMs_ALTO_02219,11359,2146,10.7,61,272,27,131,5,29.8,33.3,61,76,88
CMs,SYN_CMs_ALTO_02892,8882,1578,8.0,36,229,13,97,2,31.3,33.6,49,56,89
CBs,SYN_CBs_MEDIO_02545,4098,917,5.0,12,58,9,76,2,27.9,29.3,42,26,60
,SYN_Indefinido_BAIXO_00566,1152,277,1.2,20,63,0,31,0,25.6,26.7,0,0,38
CBs,SYN_CBs_ALTO_03440,7273,1439,6.8,33,291,24,96,3,28.0,29.8,69,59,83
WBs,SYN_WBs_ALTO_02083,10562,1979,9.9,78,519,26,123,5,31.3,34.6,78,61,84
10s,SYN_10s_MEDIO_02181,6021,1123,5.6,71,170,15,74,3,28.2,30.5,38,40,78
10s,SYN_10s_ALTO_01353,9509,1806,9.2,73,361,23,115,7,27.2,28.5,71,71,84
WBs,SYN_WBs_ALTO_02489,8914,1676,8.7,61,312,18,111,4,30.9,33.9,65,61,80
STs,SYN_STs_ALTO_01483,10561,2211,10.9,120,443,30,117,8,31.0,32.5,89,87,92
,SYN_Indefinido_ALTO_00738,8069,1510,8.4,64,216,23,86,4,31.2,34.2,82,50,91
10s,SYN_10s_ALTO_01037,8221,1688,8.1,57,325,22,92,3,28.2,31.7,71,64,86
WBs,SYN_WBs_ALTO_00778,11418,2339,11.5,123,629,30,127,9,33.7,36.2,85,82,94
WBs,SYN_WBs_MEDIO_01012,4750,961,4.2,13,202,9,71,0,29.0,30.4,33,34,63
CBs,SYN_CBs_ALTO_01527,8373,1656,7.7,32,284,21,107,2,28.6,30.0,67,68,79
STs,SYN_STs_BAIXO_00784,1767,421,2.1,23,78,4,40,0,25.0,28.5,19,11,45
CBs,SYN_CBs_ALTO_00677,10376,2026,10.7,31,294,29,105,5,29.5,32.6,80,74,96
WBs,SYN_WBs_BAIXO_00758,1389,336,1.5,19,37,2,29,0,26.5,30.0,11,9,47
CBs,SYN_CBs_MEDIO_00046,4682,917,4.7,26,124,8,77,2,27.4,29.0,41,21,62
10s,SYN_10s_ALTO_02391,8808,1662,7.9,61,257,23,107,4,30.5,32.0,75,62,85
10s,SYN_10s_ALTO_02266,9915,1779,9.4,71,369,23,110,5,31.1,34.7,91,72,91
CBs,SYN_CBs_MEDIO_01012,6327,1312,6.5,22,154,15,76,3,27.6,30.5,45,45,83
10s,SYN_10s_ALTO_02899,7632,1517,7.4,60,301,18,92,5,30.7,33.4,49,63,83
,SYN_Indefinido_BAIXO_00389,1518,359,1.3,3,0,0,49,0,22.1,23.7,0,0,29
CMs,SYN_CMs_BAIXO_01374,1331,99,0.2,21,29,1,41,0,25.6,28.0,13,0,33
CBs,SYN_CBs_ALTO_02148,8995,1799,9.7,25,258,27,107,2,28.5,30.5,79,71,87
STs,SYN_STs_BAIXO_00880,513,30,0.6,0,0,1,20,0,23.6,26.6,8,0,30
,SYN_Indefinido_BAIXO_00616,60,102,0.9,3,0,5,1,1,25.5,28.7,18,14,39
CMs,SYN_CMs_MEDIO_02125,5005,931,4.7,17,205,9,86,2,29.3,31.6,29,38,62
,SYN_Indefinido_ALTO_00340,9073,1673,8.4,38,321,34,95,6,30.2,33.4,92,71,91
STs,SYN_STs_ALTO_01484,8091,1600,8.7,91,358,25,95,7,29.7,31.9,67,60,85
CBs,SYN_CBs_BAIXO_00858,1245,361,1.7,0,4,1,37,0,23.8,25.7,7,5,34
CMs,ORIG_ATL_CMs_040,11152,1897,9.4,27,264,21,122,1,26.5,29.0,67,60,90
10s,SYN_10s_MEDIO_02162,3703,742,3.6,30,183,12,59,3,30.4,32.0,34,23,68
CBs,SYN_CBs_MEDIO_00737,4441,919,5.0,8,143,9,50,0,27.0,28.8,36,43,79
CBs,SYN_CBs_MEDIO_00081,4097,886,5.0,17,189,8,53,1,28.5,31.0,32,24,70
10s,SYN_10s_MEDIO_01941,3329,649,3.4,18,120,10,60,0,28.5,30.7,33,31,54
CMs,SYN_CMs_MEDIO_02539,5796,1286,5.9,28,237,14,66,2,24.9,26.1,45,57,85
,SYN_Indefinido_ALTO_00053,9395,1927,8.8,55,205,19,112,3,27.1,29.3,54,55,86
CMs,SYN_CMs_MEDIO_01616,5149,1011,5.1,32,126,9,73,0,28.8,31.2,28,32,67
CMs,SYN_CMs_ALTO_02631,8428,1443,7.4,54,141,20,102,3,32.8,34.0,50,62,83
CBs,SYN_CBs_ALTO_01809,9325,1708,8.4,51,329,21,104,3,28.7,31.8,81,87,84
CBs,SYN_CBs_BAIXO_01026,555,313,1.7,13,0,0,37,0,25.0,26.7,0,0,17
STs,SYN_STs_ALTO_00564,9278,1927,9.7,110,392,23,100,8,29.4,32.5,78,65,92
CMs,SYN_CMs_MEDIO_02205,5233,1012,5.3,26,233,12,64,2,27.9,29.3,26,41,79
CBs,SYN_CBs_MEDIO_00518,5221,875,4.4,17,228,14,67,2,23.8,27.3,38,39,73
10s,SYN_10s_ALTO_02822,8965,1680,8.1,61,392,30,99,5,32.9,34.4,83,73,91
STs,SYN_STs_MEDIO_01876,5185,1034,5.4,35,328,20,79,5,26.7,29.8,46,42,67
CMs,SYN_CMs_ALTO_01296,10383,1885,8.9,53,359,18,129,3,29.7,31.7,61,53,83
STs,SYN_STs_MEDIO_00367,3780,706,4.1,78,220,14,67,5,24.7,27.1,38,39,58
CBs,SYN_CBs_MEDIO_01797,5337,959,4.6,27,159,14,80,1,28.9,32.2,40,40,66
CMs,SYN_CMs_MEDIO_01111,5374,1019,5.1,14,165,11,93,2,28.6,31.5,32,36,61
CMs,SYN_CMs_ALTO_00332,11435,2248,11.6,63,378,26,123,3,30.1,33.7,77,78,92
CMs,SYN_CMs_BAIXO_00357,2040,299,1.8,4,15,3,80,1,26.0,28.8,0,14,26
CBs,SYN_CBs_BAIXO_00190,1051,287,1.4,8,84,4,22,0,26.2,27.6,13,19,46
CBs,SYN_CBs_MEDIO_02495,5427,991,5.0,23,153,16,75,4,24.8,27.6,48,43,66
STs,SYN_STs_ALTO_02039,7833,1610,8.1,93,445,25,88,6,33.9,36.3,71,68,90
,SYN_Indefinido_MEDIO_00136,5099,1033,5.2,51,130,9,80,2,24.9,28.4,32,30,63
CMs,SYN_CMs_ALTO_01046,11588,2391,11.8,66,344,26,126,5,27.5,29.4,61,61,91
CMs,SYN_CMs_BAIXO_01221,401,105,0.6,8,0,0,35,0,25.4,28.8,2,0,10
WBs,SYN_WBs_ALTO_02034,9765,1889,8.9,86,466,28,117,5,29.7,31.7,76,61,82
CMs,SYN_CMs_MEDIO_02463,6817,1342,6.3,42,144,9,83,1,27.4,28.7,33,36,77
CBs,SYN_CBs_MEDIO_00770,3270,647,3.2,17,131,10,52,2,27.5,28.8,22,27,60
10s,SYN_10s_MEDIO_02146,4947,741,3.9,33,122,10,71,0,30.7,33.7,48,33,75
CBs,SYN_CBs_ALTO_02984,10444,1946,9.8,31,360,28,114,2,30.9,32.8,75,79,93
CBs,SYN_CBs_ALTO_03008,7937,1476,7.7,35,223,23,98,1,28.6,31.0,70,68,85
WBs,SYN_WBs_BAIXO_00680,910,200,1.0,6,80,0,29,0,28.5,31.1,6,0,33
CBs,SYN_CBs_ALTO_03071,7382,1478,7.6,40,189,14,87,2,29.3,30.8,61,51,84
10s,SYN_10s_MEDIO_01972,4798,796,3.7,41,188,11,54,2,28.1,31.6,42,29,80
10s,SYN_10s_ALTO_01102,6993,1537,7.4,61,406,24,90,4,32.0,35.3,60,56,82
CBs,SYN_CBs_ALTO_01882,9696,1980,10.4,28,288,30,106,3,28.5,31.6,85,74,93
CBs,SYN_CBs_MEDIO_00056,3614,853,4.6,24,125,13,66,3,27.5,28.9,48,34,54
CBs,SYN_CBs_MEDIO_02623,5525,1114,5.3,25,150,10,68,0,26.1,29.5,47,46,83
WBs,SYN_WBs_BAIXO_00566,664,103,0.4,5,9,0,29,0,24.1,25.8,3,3,29
10s,SYN_10s_ALTO_01965,8995,1778,9.7,62,354,26,113,5,28.2,29.9,66,67,83
10s,SYN_10s_ALTO_00821,9404,1838,8.9,80,378,20,107,4,34.4,37.7,63,73,85
CMs,SYN_CMs_BAIXO_00516,50,136,0.6,0,6,2,3,0,24.8,28.0,8,8,5
CMs,SYN_CMs_BAIXO_00023,1236,435,2.3,0,89,1,56,0,27.3,30.4,8,0,21
STs,SYN_STs_ALTO_01847,9152,1886,9.2,93,459,27,114,8,29.0,30.2,91,73,84
CBs,SYN_CBs_ALTO_00381,10067,1998,9.9,39,261,23,109,1,27.9,31.4,87,74,87
10s,SYN_10s_ALTO_00156,8401,1689,8.7,64,292,22,93,5,29.4,32.5,62,56,86
10s,SYN_10s_MEDIO_01489,5122,911,4.6,32,199,15,78,3,25.8,27.3,39,37,70
CMs,SYN_CMs_MEDIO_01945,5485,1036,4.6,48,121,13,75,3,27.8,31.2,28,37,69
,SYN_Indefinido_MEDIO_00323,3267,616,2.2,30,210,7,66,0,25.5,28.5,35,30,53
CMs,SYN_CMs_MEDIO_01546,4281,829,4.4,30,180,8,82,0,29.5,31.8,38,31,55
,SYN_Indefinido_ALTO_00741,7966,1547,7.7,60,138,18,96,4,28.6,31.1,47,63,80
CBs,SYN_CBs_MEDIO_01302,5245,933,4.6,13,135,13,75,3,25.8,28.5,26,40,75
STs,SYN_STs_ALTO_02222,8161,1770,9.4,97,408,23,104,8,29.1,31.3,66,56,82
CMs,SYN_CMs_ALTO_01986,10226,1951,10.0,57,257,19,119,3,30.2,33.3,55,47,88
CMs,SYN_CMs_ALTO_02521,10308,1963,10.2,61,413,22,110,3,29.1,32.6,55,68,94
10s,SYN_10s_ALTO_03309,8534,1763,8.9,66,378,17,93,4,33.0,34.2,71,59,89
CBs,ORIG_ATL_CBs_010,5367,1041,5.0,0,173,10,101,0,28.6,31.3,45,41,54
WBs,SYN_WBs_MEDIO_00380,7535,1456,6.6,59,246,17,91,6,32.0,34.9,45,43,83
10s,SYN_10s_ALTO_00950,8487,1872,9.0,69,302,21,99,3,30.3,33.3,71,56,83
CMs,SYN_CMs_ALTO_00167,8212,1644,8.1,65,275,21,98,3,31.4,32.7,45,60,80
,SYN_Indefinido_MEDIO_00200,5406,960,5.1,51,280,17,77,3,26.8,28.7,51,44,71
10s,SYN_10s_ALTO_02789,8389,1564,7.8,50,398,20,105,2,28.1,29.5,60,60,83
WBs,SYN_WBs_ALTO_00475,11126,2166,10.7,112,576,31,120,7,30.3,33.0,86,68,94
CMs,SYN_CMs_ALTO_03119,10157,1965,9.7,50,277,18,119,3,28.4,31.7,64,57,83
WBs,SYN_WBs_ALTO_01512,9486,1840,9.3,78,354,21,104,7,31.7,34.0,67,57,94
10s,SYN_10s_MEDIO_00527,4274,759,3.7,32,161,10,58,1,29.9,33.3,47,31,74
CBs,SYN_CBs_MEDIO_02179,5916,1075,5.9,27,184,11,59,1,30.0,32.5,54,43,86
WBs,SYN_WBs_BAIXO_00135,730,111,0.2,12,94,2,21,0,26.6,27.8,5,11,28
,SYN_Indefinido_MEDIO_00748,5318,1107,5.3,49,192,15,65,3,30.4,32.9,28,47,81
CBs,SYN_CBs_BAIXO_00322,681,138,0.3,0,44,1,29,0,26.7,28.1,4,3,22
CBs,SYN_CBs_MEDIO_01431,5135,959,4.6,17,92,14,55,1,28.0,29.3,51,45,78
CBs,SYN_CBs_MEDIO_02476,4890,976,5.8,12,59,10,64,2,25.5,28.5,29,38,69
10s,SYN_10s_ALTO_01650,8241,1547,8.4,57,360,17,100,4,31.7,35.3,64,52,80
CBs,SYN_CBs_MEDIO_01763,5428,1134,5.0,21,85,11,72,1,30.6,33.1,47,31,75
STs,SYN_STs_MEDIO_01730,6883,1307,5.8,72,246,21,88,6,29.0,30.5,56,51,78
10s,SYN_10s_MEDIO_01146,4461,896,4.0,28,117,15,63,3,30.1,31.9,32,38,65
WBs,SYN_WBs_ALTO_00026,10738,2256,10.7,67,600,23,135,5,32.3,35.4,76,73,79
CMs,SYN_CMs_ALTO_00478,10117,1919,10.0,48,221,17,123,3,28.5,30.6,59,69,84
WBs,SYN_WBs_ALTO_01197,8738,1666,8.2,83,393,20,112,6,32.0,34.2,70,63,80
10s,SYN_10s_BAIXO_00724,986,375,1.5,0,0,0,67,0,26.5,28.2,0,4,15
CMs,SYN_CMs_ALTO_01000,10529,1985,10.5,50,295,21,125,3,32.1,34.5,47,67,82
CBs,SYN_CBs_MEDIO_01522,4961,877,4.8,24,102,15,53,1,25.0,27.9,39,46,81
CMs,SYN_CMs_BAIXO_00365,1602,327,1.7,10,0,4,52,0,26.1,29.3,15,12,32
CMs,SYN_CMs_ALTO_02943,10506,2011,10.3,85,325,31,115,5,32.6,35.2,76,80,90
CMs,SYN_CMs_BAIXO_00851,629,153,0.5,22,20,2,85,0,26.9,30.4,20,2,7
STs,SYN_STs_ALTO_01310,7830,1528,8.0,75,345,25,94,6,29.5,31.9,62,57,81
10s,SYN_10s_MEDIO_01292,3227,656,3.2,7,70,9,60,0,27.2,30.3,34,26,53
WBs,SYN_WBs_ALTO_00133,11262,2289,12.1,97,412,28,126,7,31.1,33.3,91,59,90
CBs,SYN_CBs_ALTO_02884,8778,1766,8.6,32,205,22,98,4,28.7,32.2,74,67,91
WBs,SYN_WBs_ALTO_00454,10521,2039,9.9,72,492,28,112,7,34.0,36.9,69,63,92
10s,SYN_10s_MEDIO_00736,6270,1278,6.9,30,266,14,75,2,30.0,33.0,36,45,86
STs,SYN_STs_ALTO_00208,9449,1840,9.3,102,469,24,112,8,31.5,34.1,72,67,82
STs,SYN_STs_ALTO_01363,9296,1866,9.2,85,419,27,101,9,29.5,31.9,80,84,92
STs,SYN_STs_ALTO_00508,8758,1855,9.2,86,334,30,98,9,31.5,34.9,71,67,90
CMs,SYN_CMs_ALTO_00164,9361,1845,9.1,31,282,21,110,3,32.0,35.5,57,59,85
10s,SYN_10s_MEDIO_02709,3658,578,2.4,33,246,10,64,2,28.6,31.4,27,42,54
CBs,SYN_CBs_BAIXO_00902,1002,246,1.2,26,41,4,24,1,26.4,29.0,15,9,40
10s,SYN_10s_BAIXO_00797,2924,482,3.0,24,80,3,52,1,28.1,29.8,4,17,49
STs,SYN_STs_ALTO_01481,10714,1992,10.0,111,324,34,120,10,32.6,34.7,79,71,93
CMs,SYN_CMs_MEDIO_01432,5253,995,4.7,26,221,9,71,2,29.7,33.3,34,26,69
,SYN_Indefinido_MEDIO_00135,4862,759,4.3,8,102,12,60,4,26.6,29.6,43,34,83
10s,SYN_10s_ALTO_00440,9891,1983,10.0,86,448,23,110,5,30.2,32.1,70,67,89
CBs,SYN_CBs_BAIXO_01048,1602,399,1.5,7,130,4,35,0,25.7,29.0,13,16,42
CMs,SYN_CMs_MEDIO_00990,7631,1462,6.3,45,305,17,95,2,28.4,32.0,43,59,83
10s,SYN_10s_MEDIO_01804,4006,745,3.8,39,142,9,62,3,28.7,31.4,30,36,59
CMs,SYN_CMs_ALTO_00871,10110,1945,9.1,51,349,19,110,5,31.3,34.7,57,62,92
10s,SYN_10s_MEDIO_02586,5452,1135,5.4,44,232,9,78,1,29.2,31.2,41,27,72
10s,SYN_10s_BAIXO_01277,908,216,1.3,18,39,1,31,0,26.1,27.9,7,0,37
CMs,SYN_CMs_MEDIO_02721,6281,1204,5.6,20,239,7,98,1,26.6,29.0,16,30,66
CBs,SYN_CBs_BAIXO_00189,889,34,0.5,12,0,1,29,1,24.1,27.0,7,0,37
CMs,SYN_CMs_ALTO_00482,10852,2252,11.4,36,364,23,110,3,29.4,32.2,57,67,95
CBs,SYN_CBs_BAIXO_00844,849,192,1.3,0,0,1,57,0,26.6,29.8,7,2,14
STs,SYN_STs_ALTO_00718,8925,1595,7.9,91,496,29,97,7,33.5,35.4,70,62,89
,SYN_Indefinido_BAIXO_00335,255,147,0.9,0,0,5,10,0,26.2,29.6,23,11,27
WBs,SYN_WBs_ALTO_01480,11025,2125,10.6,86,507,27,114,6,30.5,32.8,82,74,96
CBs,SYN_CBs_ALTO_00028,9529,1870,9.8,33,300,18,118,3,26.8,28.4,73,59,80
CBs,SYN_CBs_ALTO_02199,8909,1719,9.3,51,225,22,88,5,29.7,31.9,74,68,96
STs,SYN_STs_MEDIO_00081,5566,1162,6.3,63,194,15,67,4,27.8,29.3,56,44,77
10s,SYN_10s_MEDIO_01973,5316,935,4.7,33,263,10,66,2,26.1,29.4,31,43,74
CBs,SYN_CBs_ALTO_01699,8452,1720,8.3,20,233,21,96,2,26.5,29.6,64,62,82
STs,SYN_STs_MEDIO_00823,5335,1230,5.9,39,295,19,78,5,28.5,31.0,49,39,72
WBs,SYN_WBs_BAIXO_00340,50,8,0.1,0,0,0,14,0,29.7,30.8,1,0,5
WBs,SYN_WBs_ALTO_02129,9610,1890,9.4,90,435,20,107,5,30.4,33.0,65,59,93
CMs,SYN_CMs_BAIXO_00255,1950,250,1.0,24,0,0,26,0,27.5,30.4,0,0,52
WBs,SYN_WBs_ALTO_01399,11269,2145,10.6,75,504,23,125,5,31.3,32.7,72,73,90
STs,SYN_STs_ALTO_02188,8850,1725,8.7,93,371,27,91,6,27.9,30.5,70,62,92
CMs,SYN_CMs_BAIXO_00507,930,197,1.2,0,0,2,21,0,24.9,26.6,1,17,38
WBs,SYN_WBs_MEDIO_00437,4584,1054,5.3,47,175,14,71,2,27.9,29.4,35,45,61
CBs,SYN_CBs_BAIXO_00669,434,169,0.5,1,48,1,16,0,25.6,26.9,11,0,25
CMs,SYN_CMs_ALTO_01066,9698,1932,10.2,62,258,19,109,3,29.0,30.5,35,73,89
CBs,SYN_CBs_MEDIO_01103,6707,1445,7.7,24,230,14,76,2,28.8,32.2,41,56,85
STs,SYN_STs_BAIXO_00477,145,10,0.6,7,18,0,25,0,24.1,27.6,0,3,9
WBs,SYN_WBs_ALTO_02221,11503,2102,9.7,104,564,28,118,6,31.9,34.0,79,72,96
10s,SYN_10s_ALTO_02379,9452,2054,10.4,65,369,23,101,5,31.0,33.2,78,68,91
10s,SYN_10s_BAIXO_00804,1018,60,0.9,0,22,1,30,0,25.0,26.5,3,7,36
CBs,SYN_CBs_MEDIO_00982,4839,804,4.4,26,49,8,67,0,29.2,31.3,39,28,66
CMs,SYN_CMs_MEDIO_02171,4051,742,3.6,34,117,10,70,2,28.5,30.2,35,22,60
